"Concatenated","Primary_Desc","Secondary_Desc","Tertiary_Desc","Quaternary_Desc"
"C","Commercial","","",""
"CA","Commercial","Agricultural","",""
"CA01","Commercial","Agricultural","Farm / Non-Residential Associated Building",""
"CA02","Commercial","Agricultural","Fishery",""
"CA02FF","Commercial","Agricultural","Fishery","Fish Farming"
"CA02FH","Commercial","Agricultural","Fishery","Fish Hatchery"
"CA02FP","Commercial","Agricultural","Fishery","Fish Processing"
"CA02OY","Commercial","Agricultural","Fishery","Oyster / Mussel Bed"
"CA03","Commercial","Agricultural","Horticulture",""
"CA03SH","Commercial","Agricultural","Horticulture","Smallholding"
"CA03VY","Commercial","Agricultural","Horticulture","Vineyard"
"CA03WB","Commercial","Agricultural","Horticulture","Watercress Bed"
"CA04","Commercial","Agricultural","Slaughter House / Abattoir",""
"CB","Commercial","Ancillary Building","",""
"CC","Commercial","Community Services","",""
"CC02","Commercial","Community Services","Law Court",""
"CC03","Commercial","Community Services","Prison",""
"CC03HD","Commercial","Community Services","Prison","HM Detention Centre"
"CC03PR","Commercial","Community Services","Prison","HM Prison Service"
"CC03SC","Commercial","Community Services","Prison","Secure Residential Accommodation"
"CC04","Commercial","Community Services","Public / Village Hall / Other Community Facility",""
"CC04YR","Commercial","Community Services","Public / Village Hall / Other Community Facility","Youth Recreational / Social Club"
"CC05","Commercial","Community Services","Public Convenience",""
"CC06","Commercial","Community Services","Cemetery / Crematorium / Graveyard.  In Current Use.",""
"CC06CB","Commercial","Community Services","Cemetery / Crematorium / Graveyard.  In Current Use.","Columbarium"
"CC06CR","Commercial","Community Services","Cemetery / Crematorium / Graveyard.  In Current Use.","Chapel Of Rest"
"CC06CN","Commercial","Community Services","Cemetery / Crematorium / Graveyard.  In Current Use.","Crematorium"
"CC06CY","Commercial","Community Services","Cemetery / Crematorium / Graveyard.  In Current Use.","Cemetery"
"CC06MC","Commercial","Community Services","Cemetery / Crematorium / Graveyard.  In Current Use.","Military Cemetery"
"CC06MY","Commercial","Community Services","Cemetery / Crematorium / Graveyard.  In Current Use.","Mortuary"
"CC07","Commercial","Community Services","Church Hall / Religious Meeting Place / Hall",""
"CC08","Commercial","Community Services","Community Service Centre / Office",""
"CC09","Commercial","Community Services","Public Household Waste Recycling Centre (HWRC)",""
"CC10","Commercial","Community Services","Recycling Site",""
"CC11","Commercial","Community Services","CCTV",""
"CC12","Commercial","Community Services","Job Centre",""
"CE","Commercial","Education","",""
"CE01","Commercial","Education","College",""
"CE01FE","Commercial","Education","College","Further Education"
"CE01HE","Commercial","Education","College","Higher Education"
"CE02","Commercial","Education","Children’s Nursery / Crèche",""
"CE03","Commercial","Education","Preparatory / First / Primary / Infant / Junior / Middle School",""
"CE03FS","Commercial","Education","Preparatory / First / Primary / Infant / Junior / Middle School","First School"
"CE03IS","Commercial","Education","Preparatory / First / Primary / Infant / Junior / Middle School","Infant School"
"CE03JS","Commercial","Education","Preparatory / First / Primary / Infant / Junior / Middle School","Junior School"
"CE03MS","Commercial","Education","Preparatory / First / Primary / Infant / Junior / Middle School","Middle School"
"CE03NP","Commercial","Education","Preparatory / First / Primary / Infant / Junior / Middle School","Non State Primary / Preparatory School"
"CE03PS","Commercial","Education","Preparatory / First / Primary / Infant / Junior / Middle School","Primary School"
"CE04","Commercial","Education","Secondary / High School",""
"CE04NS","Commercial","Education","Secondary / High School","Non State Secondary School"
"CE04SS","Commercial","Education","Secondary / High School","Secondary School"
"CE05","Commercial","Education","University",""
"CE06","Commercial","Education","Special Needs Establishment.",""
"CE07","Commercial","Education","Other Educational Establishment",""
"CH","Commercial","Hotel / Motel / Boarding / Guest House","",""
"CH01","Commercial","Hotel / Motel / Boarding / Guest House","Boarding / Guest House / Bed And Breakfast / Youth Hostel",""
"CH01YH","Commercial","Hotel / Motel / Boarding / Guest House","Boarding / Guest House / Bed And Breakfast / Youth Hostel","Youth Hostel"
"CH02","Commercial","Hotel / Motel / Boarding / Guest House","Holiday Let/Accomodation/Short-Term Let Other Than CH01",""
"CH03","Commercial","Hotel / Motel / Boarding / Guest House","Hotel/Motel",""
"CI","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","",""
"CI01","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Factory/Manufacturing",""
"CI01AW","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Factory/Manufacturing","Aircraft Works"
"CI01BB","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Factory/Manufacturing","Boat Building"
"CI01BR","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Factory/Manufacturing","Brick Works"
"CI01BW","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Factory/Manufacturing","Brewery"
"CI01CD","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Factory/Manufacturing","Cider Manufacture"
"CI01CM","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Factory/Manufacturing","Chemical Works"
"CI01CW","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Factory/Manufacturing","Cement Works"
"CI01DA","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Factory/Manufacturing","Dairy Processing"
"CI01DY","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Factory/Manufacturing","Distillery"
"CI01FL","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Factory/Manufacturing","Flour Mill"
"CI01FO","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Factory/Manufacturing","Food Processing"
"CI01GW","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Factory/Manufacturing","Glassworks"
"CI01MG","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Factory/Manufacturing","Manufacturing"
"CI01OH","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Factory/Manufacturing","Oast House"
"CI01OR","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Factory/Manufacturing","Oil Refining"
"CI01PG","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Factory/Manufacturing","Pottery Manufacturing"
