"Concatenated","Class_Desc","Primary_Code","Secondary_Code","Tertiary_Code","Quaternary_Code","Primary_Desc","Secondary_Desc","Tertiary_Desc","Quaternary_Desc"
"C","Commercial","C","","","","Commercial","","",""
"CA","Agricultural","C","A","","","Commercial","Agricultural","",""
"CA01","Farm / Non-Residential Associated Building","C","A","01","","Commercial","Agricultural","Farm / Non-Residential Associated Building",""
"CA02","Fishery","C","A","02","","Commercial","Agricultural","Fishery",""
"CA02FF","Fish Farming","C","A","02","FF","Commercial","Agricultural","Fishery","Fish Farming"
"CA02FH","Fish Hatchery","C","A","02","FH","Commercial","Agricultural","Fishery","Fish Hatchery"
"CA02FP","Fish Processing","C","A","02","FP","Commercial","Agricultural","Fishery","Fish Processing"
"CA02OY","Oyster / Mussel Bed","C","A","02","OY","Commercial","Agricultural","Fishery","Oyster / Mussel Bed"
"CA03","Horticulture","C","A","03","","Commercial","Agricultural","Horticulture",""
"CA03SH","Smallholding","C","A","03","SH","Commercial","Agricultural","Horticulture","Smallholding"
"CA03VY","Vineyard","C","A","03","VY","Commercial","Agricultural","Horticulture","Vineyard"
"CA03WB","Watercress Bed","C","A","03","WB","Commercial","Agricultural","Horticulture","Watercress Bed"
"CA04","Slaughter House / Abattoir","C","A","04","","Commercial","Agricultural","Slaughter House / Abattoir",""
"CB","Ancillary Building","C","B","","","Commercial","Ancillary Building","",""
"CC","Community Services","C","C","","","Commercial","Community Services","",""
"CC02","Law Court","C","C","02","","Commercial","Community Services","Law Court",""
"CC03","Prison","C","C","03","","Commercial","Community Services","Prison",""
"CC03HD","HM Detention Centre","C","C","03","HD","Commercial","Community Services","Prison","HM Detention Centre"
"CC03PR","HM Prison Service","C","C","03","PR","Commercial","Community Services","Prison","HM Prison Service"
"CC03SC","Secure Residential Accommodation","C","C","03","SC","Commercial","Community Services","Prison","Secure Residential Accommodation"
"CC04","Public / Village Hall / Other Community Facility","C","C","04","","Commercial","Community Services","Public / Village Hall / Other Community Facility",""
"CC04YR","Youth Recreational / Social Club","C","C","04","YR","Commercial","Community Services","Public / Village Hall / Other Community Facility","Youth Recreational / Social Club"
"CC05","Public Convenience","C","C","05","","Commercial","Community Services","Public Convenience",""
"CC06","Cemetery / Crematorium / Graveyard. In Current Use.","C","C","06","","Commercial","Community Services","Cemetery / Crematorium / Graveyard. In Current Use.",""
"CC06CB","Columbarium","C","C","06","CB","Commercial","Community Services","Cemetery / Crematorium / Graveyard. In Current Use.","Columbarium"
"CC06CR","Chapel Of Rest","C","C","06","CR","Commercial","Community Services","Cemetery / Crematorium / Graveyard. In Current Use.","Chapel Of Rest"
"CC06CN","Crematorium","C","C","06","CN","Commercial","Community Services","Cemetery / Crematorium / Graveyard. In Current Use.","Crematorium"
"CC06CY","Cemetery","C","C","06","CY","Commercial","Community Services","Cemetery / Crematorium / Graveyard. In Current Use.","Cemetery"
"CC06MC","Military Cemetery","C","C","06","MC","Commercial","Community Services","Cemetery / Crematorium / Graveyard. In Current Use.","Military Cemetery"
"CC06MY","Mortuary","C","C","06","MY","Commercial","Community Services","Cemetery / Crematorium / Graveyard. In Current Use.","Mortuary"
"CC07","Church Hall / Religious Meeting Place / Hall","C","C","07","","Commercial","Community Services","Church Hall / Religious Meeting Place / Hall",""
"CC08","Community Service Centre / Office","C","C","08","","Commercial","Community Services","Community Service Centre / Office",""
"CC09","Public Household Waste Recycling Centre (HWRC)","C","C","09","","Commercial","Community Services","Public Household Waste Recycling Centre (HWRC)",""
"CC10","Recycling Site","C","C","10","","Commercial","Community Services","Recycling Site",""
"CC11","CCTV","C","C","11","","Commercial","Community Services","CCTV",""
"CC12","Job Centre","C","C","12","","Commercial","Community Services","Job Centre",""
"CE","Education","C","E","","","Commercial","Education","",""
"CE01","College","C","E","01","","Commercial","Education","College",""
"CE01FE","Further Education","C","E","01","FE","Commercial","Education","College","Further Education"
"CE01HE","Higher Education","C","E","01","HE","Commercial","Education","College","Higher Education"
"CE02","Children’s Nursery / Crèche","C","E","02","","Commercial","Education","Children’s Nursery / Crèche",""
"CE03","Preparatory / First / Primary / Infant / Junior / Middle School","C","E","03","","Commercial","Education","Preparatory / First / Primary / Infant / Junior / Middle School",""
"CE03FS","First School","C","E","03","FS","Commercial","Education","Preparatory / First / Primary / Infant / Junior / Middle School","First School"
"CE03IS","Infant School","C","E","03","IS","Commercial","Education","Preparatory / First / Primary / Infant / Junior / Middle School","Infant School"
"CE03JS","Junior School","C","E","03","JS","Commercial","Education","Preparatory / First / Primary / Infant / Junior / Middle School","Junior School"
"CE03MS","Middle School","C","E","03","MS","Commercial","Education","Preparatory / First / Primary / Infant / Junior / Middle School","Middle School"
"CE03NP","Non State Primary / Preparatory School","C","E","03","NP","Commercial","Education","Preparatory / First / Primary / Infant / Junior / Middle School","Non State Primary / Preparatory School"
"CE03PS","Primary School","C","E","03","PS","Commercial","Education","Preparatory / First / Primary / Infant / Junior / Middle School","Primary School"
"CE04","Secondary / High School","C","E","04","","Commercial","Education","Secondary / High School",""
"CE04NS","Non State Secondary School","C","E","04","NS","Commercial","Education","Secondary / High School","Non State Secondary School"
"CE04SS","Secondary School","C","E","04","SS","Commercial","Education","Secondary / High School","Secondary School"
"CE05","University","C","E","05","","Commercial","Education","University",""
"CE06","Special Needs Establishment.","C","E","06","","Commercial","Education","Special Needs Establishment.",""
"CE07","Other Educational Establishment","C","E","07","","Commercial","Education","Other Educational Establishment",""
"CH","Hotel / Motel / Boarding / Guest House","C","H","","","Commercial","Hotel / Motel / Boarding / Guest House","",""
