join_key,OSMMSTYLE_NAME,MI_STYLE
TopographicAreaBuildingArchwayManmade,buildingFill,"Brush (2,16764057,16764057)"
TopographicPointHeight ControlBench Mark,pointSymbol,"Symbol (40,0,10) Pen (1,2,0)"
CartographicTextHeight ControlBench Mark,defaultCartographicText,"Brush (2,0,0)"
CartographicSymbolHeight ControlBench Mark,benchMarkSymbol,"Symbol (40,0,10) Pen (1,2,0)"
TopographicLineLandformBottom Of CliffNaturalEdge / Limit,landformBottomOfCliffLine,"Pen (1,112,6723942)"
TopographicLineLandformBottom Of SlopeManmadeEdge / Limit,landformBottomOfSlopeLine,"Pen (1,112,6723942)"
TopographicAreaNatural EnvironmentBouldersNatural,bouldersPattern,"Brush (115,6723942,13434828)"
TopographicAreaNatural EnvironmentBoulders (Scattered)Natural,scatteredBouldersPattern,"Brush (115,6723942,13434828)"
"TopographicAreaNatural EnvironmentBoulders (Scattered),Nonconiferous TreesNatural",multiVegetationPattern,"Brush (101,6723942,13434828)"
"TopographicAreaNatural EnvironmentBoulders (Scattered),Nonconiferous Trees (Scattered),Rough GrasslandNatural",multiVegetationPattern,"Brush (101,6723942,13434828)"
"TopographicAreaNatural EnvironmentBoulders (Scattered),Rock (Scattered),Rough GrasslandNatural",roughGrassScatteredRocksAndScatteredBouldersPattern,"Brush (102,6723942,13434828)"
"TopographicAreaNatural EnvironmentBoulders (Scattered),Rough GrasslandNatural",roughGrassAndScatteredBouldersPattern,"Brush (102,6723942,13434828)"
"TopographicAreaNatural EnvironmentBoulders (Scattered),Rough Grassland,ScrubNatural",multiVegetationPattern,"Brush (101,6723942,13434828)"
"TopographicAreaNatural EnvironmentBoulders (Scattered),ScrubNatural",multiVegetationPattern,"Brush (101,6723942,13434828)"
"TopographicAreaNatural EnvironmentBoulders,Coniferous Trees,Nonconiferous TreesNatural",multiVegetationPattern,"Brush (101,6723942,13434828)"
"TopographicAreaNatural Environment,Road Or TrackBoulders,Coniferous Trees,Nonconiferous TreesNatural",roadFillVegetation,"Brush (2,13421772,13421772) Pen (1,1,13421772)"
"TopographicAreaNatural EnvironmentBoulders,Heath,Rough GrasslandNatural",roughGrassAndBouldersPattern,"Brush (102,6723942,13434828)"
"TopographicAreaNatural EnvironmentBoulders,Nonconiferous TreesNatural",multiVegetationPattern,"Brush (101,6723942,13434828)"
"TopographicAreaNatural EnvironmentBoulders,Nonconiferous Trees,ScrubNatural",multiVegetationPattern,"Brush (101,6723942,13434828)"
"TopographicAreaNatural EnvironmentBoulders,Rock (Scattered),Rough GrasslandNatural",roughGrassScatteredRocksAndBouldersPattern,"Brush (102,6723942,13434828)"
"TopographicAreaNatural EnvironmentBoulders,Rock,Rough GrasslandNatural",rocksRoughGrassAndBouldersPattern,"Brush (102,6723942,13434828)"
"TopographicAreaNatural EnvironmentBoulders,Rock,Rough Grassland,ScrubNatural",roughGrassAndRocksPattern,"Brush (102,6723942,13434828)"
"TopographicAreaNatural EnvironmentBoulders,Rough GrasslandNatural",roughGrassAndBouldersPattern,"Brush (102,6723942,13434828)"
"TopographicAreaNatural EnvironmentBoulders,Rough Grassland,ScrubNatural",roughGrassAndRocksPattern,"Brush (102,6723942,13434828)"
"TopographicAreaNatural EnvironmentBoulders,ScrubNatural",multiVegetationPattern,"Brush (101,6723942,13434828)"
CartographicSymbolPolitical Or AdministrativeBoundary Half Mereing,boundaryMereingChangeSymbol,"Symbol (40,16711935,10) Pen (1,2,16711935)"
TopographicPointPolitical Or AdministrativeBoundary Post Or Stone,boundaryPostSymbol,"Symbol (40,0,10) Pen (1,2,16711935)"
TopographicLineRailBufferManmade,defaultLine,"Pen (1,2,0)"
TopographicAreaLandformCliffNatural,naturalLandformPattern,"Brush (6,6723942) Pen (1,1,6723942)"
"TopographicAreaLandform,RailCliffNatural",railFillLandform,"Brush (6,6723942) Pen (1,1,6723942)"
"TopographicAreaLandform,Road Or TrackCliffNatural",roadFillLandform,"Brush (6,6723942) Pen (1,1,6723942)"
CartographicTextBuildings Or StructureCompound,defaultCartographicText,"Brush (2,0,0)"
CartographicTextBuilt EnvironmentCompound,defaultCartographicText,"Brush (2,0,0)"
TopographicAreaNatural EnvironmentConiferous TreesNatural,coniferousTreesPattern,"Brush (76,6723942,13434828)"
"TopographicAreaNatural Environment,RailConiferous TreesNatural",railFillVegetation,"Brush (2,13421772,13421772)"
"TopographicAreaNatural Environment,Road Or TrackConiferous TreesNatural",roadFillVegetation,"Brush (2,13421772,13421772) Pen (1,1,13421772)"
TopographicAreaNatural EnvironmentConiferous Trees (Scattered)Natural,scatteredConiferousTreesPattern,"Brush (78,6723942,13434828)"
"TopographicAreaNatural Environment,Road Or TrackConiferous Trees (Scattered)Natural",roadFillVegetation,"Brush (2,13421772,13421772) Pen (1,1,13421772)"
"TopographicAreaNatural EnvironmentConiferous Trees (Scattered),HeathNatural",multiVegetationPattern,"Brush (101,6723942,13434828)"
"TopographicAreaNatural EnvironmentConiferous Trees (Scattered),Heath,Nonconiferous Trees (Scattered)Natural",multiVegetationPattern,"Brush (101,6723942,13434828)"
"TopographicAreaNatural EnvironmentConiferous Trees (Scattered),Heath,Nonconiferous Trees (Scattered),Rough GrasslandNatural",multiVegetationPattern,"Brush (101,6723942,13434828)"
"TopographicAreaNatural EnvironmentConiferous Trees (Scattered),Heath,Nonconiferous Trees (Scattered),ScrubNatural",multiVegetationPattern,"Brush (101,6723942,13434828)"
"TopographicAreaNatural EnvironmentConiferous Trees (Scattered),Heath,Rough GrasslandNatural",multiVegetationPattern,"Brush (101,6723942,13434828)"
"TopographicAreaNatural EnvironmentConiferous Trees (Scattered),Marsh Reeds Or SaltmarshNatural",multiVegetationPattern,"Brush (101,6723942,13434828)"
"TopographicAreaNatural EnvironmentConiferous Trees (Scattered),Nonconiferous TreesNatural",multiVegetationPattern,"Brush (101,6723942,13434828)"
"TopographicAreaNatural EnvironmentConiferous Trees (Scattered),Nonconiferous Trees (Scattered)Natural",scatteredNonconiferousTreesAndScatteredConiferousTreesPattern,"Brush (102,6723942,13434828)"
"TopographicAreaNatural Environment,Road Or TrackConiferous Trees (Scattered),Nonconiferous Trees (Scattered)Natural",roadFillVegetation,"Brush (2,13421772,13421772) Pen (1,1,13421772)"
"TopographicAreaNatural EnvironmentConiferous Trees (Scattered),Nonconiferous Trees (Scattered),Rough GrasslandNatural",multiVegetationPattern,"Brush (101,6723942,13434828)"
"TopographicAreaNatural EnvironmentConiferous Trees (Scattered),Nonconiferous Trees (Scattered),Rough Grassland,ScrubNatural",multiVegetationPattern,"Brush (101,6723942,13434828)"
"TopographicAreaNatural EnvironmentConiferous Trees (Scattered),Nonconiferous Trees (Scattered),ScrubNatural",scatteredConiferousTreesScatteredNonconiferousTreesAndScrubPattern,"Brush (102,6723942,13434828)"
"TopographicAreaNatural Environment,Road Or TrackConiferous Trees (Scattered),Nonconiferous Trees (Scattered),ScrubNatural",roadFillVegetation,"Brush (2,13421772,13421772) Pen (1,1,13421772)"
"TopographicAreaNatural EnvironmentConiferous Trees (Scattered),Rough GrasslandNatural",multiVegetationPattern,"Brush (101,6723942,13434828)"
"TopographicAreaNatural EnvironmentConiferous Trees (Scattered),Rough Grassland,ScrubNatural",multiVegetationPattern,"Brush (101,6723942,13434828)"
"TopographicAreaNatural EnvironmentConiferous Trees (Scattered),ScrubNatural",multiVegetationPattern,"Brush (101,6723942,13434828)"
"TopographicAreaNatural Environment,RailConiferous Trees (Scattered),ScrubNatural",railFillVegetation,"Brush (2,13421772,13421772)"
"TopographicAreaNatural Environment,Road Or TrackConiferous Trees (Scattered),ScrubNatural",roadFillVegetation,"Brush (2,13421772,13421772) Pen (1,1,13421772)"
"TopographicAreaNatural EnvironmentConiferous Trees,Coppice Or OsiersNatural",multiVegetationPattern,"Brush (101,6723942,13434828)"
"TopographicAreaNatural EnvironmentConiferous Trees,Coppice Or Osiers,Nonconiferous TreesNatural",multiVegetationPattern,"Brush (101,6723942,13434828)"
"TopographicAreaNatural EnvironmentConiferous Trees,Coppice Or Osiers,Nonconiferous Trees,ScrubNatural",multiVegetationPattern,"Brush (101,6723942,13434828)"
"TopographicAreaNatural EnvironmentConiferous Trees,Coppice Or Osiers,ScrubNatural",multiVegetationPattern,"Brush (101,6723942,13434828)"
"TopographicAreaNatural EnvironmentConiferous Trees,Heath,Nonconiferous TreesNatural",multiVegetationPattern,"Brush (101,6723942,13434828)"
"TopographicAreaNatural EnvironmentConiferous Trees,Marsh Reeds Or SaltmarshNatural",multiVegetationPattern,"Brush (101,6723942,13434828)"
"TopographicAreaNatural EnvironmentConiferous Trees,Marsh Reeds Or Saltmarsh,Nonconiferous TreesNatural",multiVegetationPattern,"Brush (101,6723942,13434828)"
"TopographicAreaNatural EnvironmentConiferous Trees,Nonconiferous TreesNatural",nonconiferousTreesAndConiferousTreesPattern,"Brush (102,6723942,13434828)"
"TopographicAreaNatural Environment,RailConiferous Trees,Nonconiferous TreesNatural",railFillVegetation,"Brush (2,13421772,13421772)"
"TopographicAreaNatural Environment,Road Or TrackConiferous Trees,Nonconiferous TreesNatural",roadFillVegetation,"Brush (2,13421772,13421772) Pen (1,1,13421772)"
"TopographicAreaNatural EnvironmentConiferous Trees,Nonconiferous Trees (Scattered)Natural",multiVegetationPattern,"Brush (101,6723942,13434828)"
"TopographicAreaNatural EnvironmentConiferous Trees,Nonconiferous Trees,RockNatural",multiVegetationPattern,"Brush (101,6723942,13434828)"
"TopographicAreaNatural EnvironmentConiferous Trees,Nonconiferous Trees,Rock (Scattered)Natural",coniferousTreesAndScatteredRocksPattern,"Brush (102,6723942,13434828)"
"TopographicAreaNatural EnvironmentConiferous Trees,Nonconiferous Trees,Rough GrasslandNatural",roughGrassNonconiferousTreesAndConiferousTreesPattern,"Brush (102,6723942,13434828)"
"TopographicAreaNatural EnvironmentConiferous Trees,Nonconiferous Trees,Rough Grassland,ScrubNatural",multiVegetationPattern,"Brush (101,6723942,13434828)"
"TopographicAreaNatural EnvironmentConiferous Trees,Nonconiferous Trees,ScrubNatural",scrubConiferousTreesAndNonconiferousTreesPattern,"Brush (102,6723942,13434828)"
"TopographicAreaNatural Environment,RailConiferous Trees,Nonconiferous Trees,ScrubNatural",railFillVegetation,"Brush (2,13421772,13421772)"
"TopographicAreaNatural Environment,Road Or TrackConiferous Trees,Nonconiferous Trees,ScrubNatural",roadFillVegetation,"Brush (2,13421772,13421772) Pen (1,1,13421772)"
"TopographicAreaNatural EnvironmentConiferous Trees,Rock (Scattered)Natural",coniferousTreesAndScatteredRocksPattern,"Brush (102,6723942,13434828)"
"TopographicAreaNatural EnvironmentConiferous Trees,Rough GrasslandNatural",roughGrassAndConiferousTreesPattern,"Brush (102,6723942,13434828)"
"TopographicAreaNatural Environment,Road Or TrackConiferous Trees,Rough GrasslandNatural",roadFillVegetation,"Brush (2,13421772,13421772) Pen (1,1,13421772)"
"TopographicAreaNatural EnvironmentConiferous Trees,Rough Grassland,ScrubNatural",multiVegetationPattern,"Brush (101,6723942,13434828)"
